gid,handle,id,remote,type,variants,vendor
gid://shopify/Product/8392587051305,covonia-cough-lozenges-strong-original-sugar-free-30-g,8392587051305,False,coughing-sneezing,"[{'id': 45448830091561, 'price': 936000, 'name': 'Covonia Cough Lozenges Strong Original Sugar-Free 30 g', 'public_title': None, 'sku': 'mega1909'}]",Covonia
gid://shopify/Product/8392586985769,fishermans-friend-extra-strong-sugar-free-24-lozenges,8392586985769,False,coughing-sneezing,"[{'id': 45448829960489, 'price': 324000, 'name': ""Fisherman's Friend Extra Strong Sugar-Free 24 Lozenges"", 'public_title': None, 'sku': 'drha225'}]",Fisherman's Friend
gid://shopify/Product/8392586821929,otrivin-allergy-relief-01-percent-instant-spray-10-ml,8392586821929,False,coughing-sneezing,"[{'id': 45448829763881, 'price': 1285000, 'name': 'Otrivin Allergy Relief 0.1 Percent Instant Spray 10 ml', 'public_title': None, 'sku': 'drrs74'}]",Otrivine
gid://shopify/Product/8392586723625,fishermans-friend-honey-lemon-sugar-free-24-lozenges,8392586723625,False,coughing-sneezing,"[{'id': 45448829370665, 'price': 324000, 'name': ""Fisherman's Friend Honey & Lemon Sugar-Free 24 Lozenges"", 'public_title': None, 'sku': 'medp8404'}]",Fisherman's Friend
gid://shopify/Product/8392586428713,covonia-cough-lozenges-strong-original-extra-strong-30-g,8392586428713,False,coughing-sneezing,"[{'id': 45448828387625, 'price': 936000, 'name': 'Covonia Cough Lozenges Strong Original Extra Strong 30 g', 'public_title': None, 'sku': 'mega1908'}]",Covonia
gid://shopify/Product/8392586264873,covonia-double-impact-extra-strong-original-lozenges-51-g,8392586264873,False,coughing-sneezing,"[{'id': 45448828092713, 'price': 670000, 'name': 'Covonia Double Impact Extra Strong Original Lozenges 51 g', 'public_title': None, 'sku': 'drgi377'}]",Covonia
gid://shopify/Product/8392586166569,theraflu-expressmax-day-time-severe-cold-cough-2455-ml,8392586166569,False,coughing-sneezing,"[{'id': 45448827699497, 'price': 2165000, 'name': 'Theraflu ExpressMax Day Time Severe Cold & Cough 245.5 ml', 'public_title': None, 'sku': 'mega1878'}]",Theraflu
gid://shopify/Product/8392585871657,theraflu-multi-symptom-severe-cold-tea-infusions-6-packets,8392585871657,False,coughing-sneezing,"[{'id': 45448827175209, 'price': 1758000, 'name': 'Theraflu Multi-Symptom Severe Cold Tea Infusions 6 Packets', 'public_title': None, 'sku': 'medp8873'}]",Theraflu
gid://shopify/Product/8392585609513,beechams-cold-flu-hot-lemon-honey-paracetamol-5-sachets,8392585609513,False,coughing-sneezing,"[{'id': 45448826880297, 'price': 1098000, 'name': 'Beechams Cold & Flu Hot Lemon & Honey Paracetamol 5 Sachets', 'public_title': None, 'sku': 'medp1591'}]",Beechams
gid://shopify/Product/8392585543977,theraflu-expressmax-night-time-severe-cold-cough-2455-ml,8392585543977,False,coughing-sneezing,"[{'id': 45448826814761, 'price': 2165000, 'name': 'Theraflu ExpressMax Night Time Severe Cold & Cough 245.5 ml', 'public_title': None, 'sku': 'mega1879'}]",Theraflu
gid://shopify/Product/8392585281833,sudafed-congestion-headache-relief-max-strength-16-capsules,8392585281833,False,coughing-sneezing,"[{'id': 45448825930025, 'price': 1308000, 'name': 'Sudafed Congestion & Headache Relief Max Strength 16 Capsules', 'public_title': None, 'sku': 'mega1900'}]",Sudafed
gid://shopify/Product/8392583020841,benylin-cold-flu-max-strength-16-capsules,8392583020841,False,coughing-sneezing,"[{'id': 45448817180969, 'price': 1764000, 'name': 'Benylin Cold & Flu Max Strength 16 Capsules', 'public_title': None, 'sku': 'medp1604'}]",Benylin
gid://shopify/Product/8392582791465,beechams-all-in-one-syrup-160-ml,8392582791465,False,coughing-sneezing,"[{'id': 45448816492841, 'price': 1904000, 'name': 'Beechams All In One Syrup 160 ml', 'public_title': None, 'sku': 'medp1589'}]",Beechams
gid://shopify/Product/8392581972265,beechams-flu-plus-hot-lemon-10-sachets,8392581972265,False,coughing-sneezing,"[{'id': 45448812855593, 'price': 1465000, 'name': 'Beechams Flu Plus Hot Lemon 10 Sachets', 'public_title': None, 'sku': 'medp1595'}]",Beechams
gid://shopify/Product/8392581841193,benadryl-plus-12-capsules,8392581841193,False,coughing-sneezing,"[{'id': 45448812560681, 'price': 2610000, 'name': 'Benadryl Plus 12 Capsules', 'public_title': None, 'sku': 'dral194'}]",Benadryl
gid://shopify/Product/8392581677353,contac-dual-relief-non-drowsy-18-tablets,8392581677353,False,coughing-sneezing,"[{'id': 45448812233001, 'price': 1816500, 'name': 'Contac Dual Relief Non-Drowsy 18 Tablets', 'public_title': None, 'sku': 'medp1377'}]",Contac
gid://shopify/Product/8392581546281,benadryl-one-a-day-7-capsules,8392581546281,False,coughing-sneezing,"[{'id': 45448810266921, 'price': 2160000, 'name': 'Benadryl One A Day 7 Capsules', 'public_title': None, 'sku': 'dral193'}]",Benadryl
gid://shopify/Product/8392580464937,benadryl-allergy-relief-12-capsules,8392580464937,False,coughing-sneezing,"[{'id': 45448807055657, 'price': 1530000, 'name': 'Benadryl Allergy Relief 12 Capsules', 'public_title': None, 'sku': 'medp1598'}]",Benadryl
gid://shopify/Product/8392579219753,day-nurse-for-cold-flu-non-drowsy-240-ml,8392579219753,False,coughing-sneezing,"[{'id': 45448805024041, 'price': 2906000, 'name': 'Day Nurse For Cold & Flu Non-Drowsy 240 ml', 'public_title': None, 'sku': 'medp1644'}]",Day Nurse
gid://shopify/Product/8392578728233,sudafed-decongestant-liquid-100-ml,8392578728233,False,coughing-sneezing,"[{'id': 45448803877161, 'price': 1350000, 'name': 'Sudafed Decongestant Liquid 100 ml', 'public_title': None, 'sku': 'drch848'}]",Sudafed
gid://shopify/Product/8392578367785,sudafed-mucus-relief-day-night-x16,8392578367785,False,coughing-sneezing,"[{'id': 45448803189033, 'price': 876000, 'name': 'Sudafed Mucus Relief Day & Night x16', 'public_title': None, 'sku': 'medp1710'}]",Sudafed
gid://shopify/Product/8392577974569,robitussin-chesty-cough-with-congestion-100-ml,8392577974569,False,coughing-sneezing,"[{'id': 45448802795817, 'price': 1745000, 'name': 'Robitussin Chesty Cough With Congestion 100 ml', 'public_title': None, 'sku': 'drch831'}]",Robitussin
gid://shopify/Product/8392427045161,durex-play-feel-50-ml,8392427045161,False,contraception-sexual-pleasure,"[{'id': 45447612858665, 'price': 1440000, 'name': 'Durex Play Feel 50 ml', 'public_title': None, 'sku': 'mega1795'}]",Durex
gid://shopify/Product/8394303668521,jarman-mango-x1,8394303668521,False,fruits,"[{'id': 45457792827689, 'price': 36500, 'name': 'Jarman Mango x1', 'public_title': None, 'sku': 'onrufrt002'}]",Generic
gid://shopify/Product/8394303242537,jarman-mango-x3,8394303242537,False,fruits,"[{'id': 45457792205097, 'price': 36500, 'name': 'Jarman Mango x3', 'public_title': None, 'sku': 'onrufrt001'}]",Generic
gid://shopify/Product/8394302161193,cherry-mango-x3,8394302161193,False,fruits,"[{'id': 45457790206249, 'price': 36500, 'name': 'Cherry Mango x3', 'public_title': None, 'sku': 'onrufrt004'}]",Generic
gid://shopify/Product/8394301964585,cherry-mango-x1,8394301964585,False,fruits,"[{'id': 45457789911337, 'price': 36500, 'name': 'Cherry Mango x1', 'public_title': None, 'sku': 'onrufrt003'}]",Generic
gid://shopify/Product/8394301767977,lemon-x3,8394301767977,False,fruits,"[{'id': 45457789550889, 'price': 36500, 'name': 'Lemon x3', 'public_title': None, 'sku': 'onmark001'}]",Generic
gid://shopify/Product/8394301276457,lemon-x7,8394301276457,False,fruits,"[{'id': 45457789059369, 'price': 49500, 'name': 'Lemon x7', 'public_title': None, 'sku': 'spfvfl1473'}]",Generic
gid://shopify/Product/8394300195113,tangerine-imported-x5,8394300195113,False,fruits,"[{'id': 45457787978025, 'price': 269000, 'name': 'Tangerine - Imported x5', 'public_title': None, 'sku': 'spmt1054'}]",Generic
gid://shopify/Product/8394298753321,plum-imported-x5,8394298753321,False,fruits,"[{'id': 45457785520425, 'price': 89000, 'name': 'Plum - Imported x5', 'public_title': None, 'sku': 'spmt1053'}]",Generic
gid://shopify/Product/8394298294569,mandarin-imported-x5,8394298294569,False,fruits,"[{'id': 45457785061673, 'price': 85000, 'name': 'Mandarin - Imported x5', 'public_title': None, 'sku': 'spmt1056'}]",Generic
gid://shopify/Product/8394297835817,pomegranate-imported-x1,8394297835817,False,fruits,"[{'id': 45457784602921, 'price': 260000, 'name': 'Pomegranate - Imported x1', 'public_title': None, 'sku': 'spxspz1203'}]",Generic
gid://shopify/Product/8394297344297,plum-x1,8394297344297,False,fruits,"[{'id': 45457784111401, 'price': 490000, 'name': 'Plum x1', 'public_title': None, 'sku': 'spwxyz215'}]",Generic
gid://shopify/Product/8394296328489,mango-x1,8394296328489,False,fruits,"[{'id': 45457782341929, 'price': 36500, 'name': 'Mango x1', 'public_title': None, 'sku': 'onrufrt005'}]",Generic
gid://shopify/Product/8394295804201,mango-x12,8394295804201,False,fruits,"[{'id': 45457781063977, 'price': 120000, 'name': 'Mango x12', 'public_title': None, 'sku': 'omx1531'}]",Generic
gid://shopify/Product/8394295476521,mango-big-size,8394295476521,False,fruits,"[{'id': 45457780736297, 'price': 65000, 'name': 'Mango Big Size', 'public_title': None, 'sku': 'skb195'}]",Generic
gid://shopify/Product/8394168041769,deli-france-maxi-croissant-chocolate-hazelnut,8394168041769,False,fresh-snacks,"[{'id': 45456911237417, 'price': 48000, 'name': 'Deli France Maxi Croissant Chocolate & Hazelnut', 'public_title': None, 'sku': 'stbspr1579'}]",Deli France
gid://shopify/Product/8394167648553,egg-puff,8394167648553,False,fresh-snacks,"[{'id': 45456909238569, 'price': 32000, 'name': 'Egg Puff', 'public_title': None, 'sku': 'sppas6'}]",Spar
gid://shopify/Product/8394167025961,moinmoin,8394167025961,False,fresh-snacks,"[{'id': 45456906649897, 'price': 180000, 'name': 'Moinmoin', 'public_title': None, 'sku': 'spwxyz1781'}]",Spar
gid://shopify/Product/8394166665513,apple-pie,8394166665513,False,fresh-snacks,"[{'id': 45456903831849, 'price': 50000, 'name': 'Apple Pie', 'public_title': None, 'sku': 'spwxyz808'}]",Generic
gid://shopify/Product/8394165911849,veg-pizza,8394165911849,False,fresh-snacks,"[{'id': 45456896262441, 'price': 60000, 'name': 'Veg Pizza', 'public_title': None, 'sku': 'spwxyz798'}]",Spar
gid://shopify/Product/8394165518633,slab-cake,8394165518633,False,fresh-snacks,"[{'id': 45456893313321, 'price': 80000, 'name': 'Slab Cake', 'public_title': None, 'sku': 'spwxyz814'}]",Spar
gid://shopify/Product/8394165223721,fruit-cake,8394165223721,False,fresh-snacks,"[{'id': 45456891052329, 'price': 85000, 'name': 'Fruit Cake', 'public_title': None, 'sku': 'spwxyz816'}]",Spar
